"data","method","f1score","precision","recall","accuracy","quadloss"
"nikolovski2014","KNN",0.614422268907563,0.655856643356643,0.638215950715951,0.672727272727273,0.548629238928617
"nikolovski2014","KNN",0.664573620823621,0.747997835497835,0.651182151182151,0.636363636363636,0.541871612214402
"nikolovski2014","KNN",0.66985754985755,0.740327380952381,0.674991674991675,0.636363636363636,0.557640097540636
"nikolovski2014","KNN",0.741871745751056,0.850446428571429,0.721840659340659,0.745454545454545,0.461988745191095
"nikolovski2014","KNN",0.584328171828172,0.59883658008658,0.591512654012654,0.563636363636364,0.587520586884505
"nikolovski2014","KNN",0.670292255637083,0.713541666666667,0.665688478188478,0.672727272727273,0.584243226101705
"nikolovski2014","KNN",0.640520226899537,0.748263888888889,0.612637362637363,0.654545454545455,0.530298621033097
"nikolovski2014","KNN",0.656672494172494,0.728199404761905,0.652701465201465,0.690909090909091,0.526637488689246
"nikolovski2014","KNN",0.588822288822289,0.646672077922078,0.623709623709624,0.581818181818182,0.603334794431852
"nikolovski2014","KNN",0.613188334962529,0.739035087719298,0.588598901098901,0.672727272727273,0.515092826044753
"nikolovski2014","KNN",0.572756734006734,0.642708333333333,0.591658341658342,0.6,0.57045194124443
"nikolovski2014","KNN",0.602752802752803,0.605045995670996,0.64242007992008,0.636363636363636,0.580935728668029
"nikolovski2014","KNN",0.597553739364084,0.612591911764706,0.60791292041292,0.636363636363636,0.54853725339781
"nikolovski2014","KNN",0.590705128205128,0.61729797979798,0.59288628038628,0.6,0.580204914884279
"nikolovski2014","KNN",0.691157229866907,0.757638888888889,0.663399100899101,0.672727272727273,0.477489494363587
"nikolovski2014","KNN",0.653802216302216,0.755702280912365,0.700320512820513,0.690909090909091,0.469611789453208
"nikolovski2014","KNN",0.645749837080482,0.701121794871795,0.638215950715951,0.636363636363636,0.557783246632299
"nikolovski2014","KNN",0.636973026973027,0.750595238095238,0.66529304029304,0.709090909090909,0.463178305771519
"nikolovski2014","KNN",0.534137159137159,0.520089285714286,0.575174825174825,0.6,0.542122285899932
"nikolovski2014","KNN",0.554383116883117,0.615388257575758,0.548243423243423,0.581818181818182,0.533750428009768
"nikolovski2014","KNN",0.572024598964254,0.68296485260771,0.649038461538462,0.636363636363636,0.500512252035392
"nikolovski2014","KNN",0.600208934583935,0.695997807017544,0.596694971694972,0.618181818181818,0.505095205227768
"nikolovski2014","KNN",0.57506105006105,0.602678571428571,0.58479020979021,0.636363636363636,0.487045343858697
"nikolovski2014","KNN",0.532962719647502,0.552083333333333,0.562437562437562,0.563636363636364,0.563816953956698
"nikolovski2014","KNN",0.500108225108225,0.594897959183673,0.525953213453213,0.581818181818182,0.620324331363376
"nikolovski2014","KNN",0.629761904761905,0.70969012605042,0.665147352647353,0.654545454545455,0.541743014203379
"nikolovski2014","KNN",0.685520226899537,0.762152777777778,0.659569597069597,0.672727272727273,0.579142597940889
"nikolovski2014","KNN",0.57186278998779,0.704761904761905,0.617216117216117,0.6,0.484876169773178
"nikolovski2014","KNN",0.652669600514428,0.711458333333333,0.626998001998002,0.654545454545455,0.554965469775363
"nikolovski2014","KNN",0.611139971139971,0.635565476190476,0.631576756576757,0.6,0.571386177421596
"nikolovski2014","KNN",0.630259185259185,0.699305555555556,0.633325008325008,0.636363636363636,0.557666467110153
"nikolovski2014","KNN",0.595673076923077,0.59583818958819,0.606539294039294,0.618181818181818,0.586469571185193
"nikolovski2014","KNN",0.657090964590965,0.668154761904762,0.684086746586747,0.654545454545455,0.561324303110266
"nikolovski2014","KNN",0.527950752950753,0.570535714285714,0.53038628038628,0.563636363636364,0.559402818239686
"nikolovski2014","KNN",0.576147186147186,0.635910087719298,0.562728937728938,0.618181818181818,0.589965422686846
"nikolovski2014","KNN",0.612566137566138,0.699659863945578,0.638361638361638,0.654545454545455,0.573887519444331
"nikolovski2014","KNN",0.611470716783217,0.706296992481203,0.59792291042291,0.636363636363636,0.479018603845319
"nikolovski2014","KNN",0.639281775057637,0.692708333333333,0.645916583416583,0.618181818181818,0.543890674808761
"nikolovski2014","KNN",0.577777777777778,0.704211229946524,0.580211455211455,0.636363636363636,0.474861710459226
"nikolovski2014","KNN",0.554184704184704,0.599719887955182,0.551365301365301,0.6,0.605787164396912
"nikolovski2014","KNN",0.640665002560164,0.733660130718954,0.655677655677656,0.654545454545455,0.518040538289155
"nikolovski2014","KNN",0.510271657852303,0.630580357142857,0.497252747252747,0.581818181818182,0.561800170214026
